customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,State,Gender
QZ44356,Arizona,F,Bachelor,697953.59,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
AI49188,Nevada,F,Bachelor,1288743.17,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
WW63253,California,M,Bachelor,764586.18,0.0,106.0,0.0,Corporate Auto,SUV,529.881344,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
GA49547,Washington,M,High School or Below,536307.65,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
OC83172,Oregon,F,Bachelor,825629.78,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
XZ87318,Oregon,F,College,538089.86,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
CF85061,Arizona,M,Master,721610.03,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
DY87989,Oregon,M,Bachelor,2412750.4,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
BQ94931,Oregon,F,College,738817.81,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
SX51350,California,M,College,473899.2,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
QK46697,Washington,M,Bachelor,617710.93,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
HS14476,Washington,M,College,916206.32,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
HD95276,Washington,F,College,473787.17,0.0,130.0,0.0,Personal Auto,SUV,23.820158,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
YD87931,Washington,M,Doctor,495165.61,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
NW21079,Washington,F,Master,487938.48,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
YB66933,Washington,F,Bachelor,538275.2,77552.0,68.0,1.0,Corporate Auto,Four-Door Car,45.215059,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
OW15518,Washington,F,College,1595001.95,0.0,87.0,1.0,Personal Auto,Two-Door Car,46.041452,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
GP39118,Washington,M,High School or Below,499655.27,71600.0,63.0,0.0,Personal Auto,Two-Door Car,46.158117,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
SG20925,Washington,F,Master,518579.76,99428.0,6464.0,1.0,Personal Auto,Four-Door Car,48.046869,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
FM14335,Washington,F,College,1048491.54,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
HS28694,Washington,F,High School or Below,282986.39,25317.0,71.0,0.0,Personal Auto,Two-Door Car,50.422181,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
LH92841,Washington,F,Bachelor,725595.38,88891.0,89.0,0.0,Personal Auto,Four-Door Car,50.528355,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
AZ95587,Arizona,F,Bachelor,1038855.32,61222.0,89.0,0.0,Special Auto,Four-Door Car,392.604371,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
DS81757,Oregon,M,College,247012.12,0.0,74.0,0.0,Personal Auto,Two-Door Car,721.242206,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
OJ94107,Arizona,M,Master,561906.85,50335.0,140.0,0.0,Personal Auto,SUV,456.52385,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
LP84436,California,F,High School or Below,904711.92,0.0,127.0,0.0,Personal Auto,Luxury,1087.995426,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0
